GEN: 134   BEST FITNESS: 68720366888.29897        	BEST SCORE: 36   	BEST RATIO: 0.0743801652892562       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 135   BEST FITNESS: 17180651729.432323       	BEST SCORE: 34   	BEST RATIO: 0.06307977736549165      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 136   BEST FITNESS: 4295659473.319487        	BEST SCORE: 32   	BEST RATIO: 0.06652806652806653      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 137   BEST FITNESS: 137439878051.29556       	BEST SCORE: 37   	BEST RATIO: 0.05597579425113464      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 138   BEST FITNESS: 34360561582.498726       	BEST SCORE: 35   	BEST RATIO: 0.055379746835443035     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 139   BEST FITNESS: 4295654545.036778        	BEST SCORE: 32   	BEST RATIO: 0.0595903165735568       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 140   BEST FITNESS: 34360578901.79979        	BEST SCORE: 35   	BEST RATIO: 0.07625272331154684      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 141   BEST FITNESS: 137439865965.7736        	BEST SCORE: 37   	BEST RATIO: 0.048366013071895426     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 142   BEST FITNESS: 274878870640.9765        	BEST SCORE: 38   	BEST RATIO: 0.04810126582278481      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 143   BEST FITNESS: 137439884771.34894       	BEST SCORE: 37   	BEST RATIO: 0.06156405990016639      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 144   BEST FITNESS: 549756860837.5527        	BEST SCORE: 39   	BEST RATIO: 0.06902654867256637      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 145   BEST FITNESS: 274878887023.47687       	BEST SCORE: 38   	BEST RATIO: 0.0581039755351682       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
