GEN: 124   BEST FITNESS: 37.16304347826087        	BEST SCORE: 39   	BEST RATIO: 0.049429657794676805     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 125   BEST FITNESS: 31.878899082568807       	BEST SCORE: 34   	BEST RATIO: 0.06653620352250489      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 126   BEST FITNESS: 36.72305389221557        	BEST SCORE: 39   	BEST RATIO: 0.06200317965023847      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 127   BEST FITNESS: 34.623263888888886       	BEST SCORE: 37   	BEST RATIO: 0.0686456400742115       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 128   BEST FITNESS: 40.983642311886584       	BEST SCORE: 43   	BEST RATIO: 0.04919908466819222      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 129   BEST FITNESS: 32.69736842105263        	BEST SCORE: 35   	BEST RATIO: 0.07042253521126761      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 130   BEST FITNESS: 40.69738480697385        	BEST SCORE: 43   	BEST RATIO: 0.056578947368421055     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 131   BEST FITNESS: 34.02739726027397        	BEST SCORE: 36   	BEST RATIO: 0.057971014492753624     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 132   BEST FITNESS: 33.91639871382637        	BEST SCORE: 36   	BEST RATIO: 0.06143344709897611      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 133   BEST FITNESS: 33.64363636363636        	BEST SCORE: 36   	BEST RATIO: 0.07003891050583658      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 134   BEST FITNESS: 30.830677290836654       	BEST SCORE: 33   	BEST RATIO: 0.07036247334754797      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 135   BEST FITNESS: 34.98676470588235        	BEST SCORE: 37   	BEST RATIO: 0.05754276827371695      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 136   BEST FITNESS: 32.70168855534709        	BEST SCORE: 35   	BEST RATIO: 0.07028112449799197      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 137   BEST FITNESS: 35.90420899854862        	BEST SCORE: 38   	BEST RATIO: 0.05837173579109063      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 138   BEST FITNESS: 35.32096474953618        	BEST SCORE: 38   	BEST RATIO: 0.07584830339321358      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 139   BEST FITNESS: 34.18741258741259        	BEST SCORE: 36   	BEST RATIO: 0.053019145802650956     WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 140   BEST FITNESS: 36.46921797004992        	BEST SCORE: 39   	BEST RATIO: 0.0693950177935943       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 141   BEST FITNESS: 37.40680713128039        	BEST SCORE: 40   	BEST RATIO: 0.06932409012131716      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 142   BEST FITNESS: 43.377942998760844       	BEST SCORE: 46   	BEST RATIO: 0.06044678055190539      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 143   BEST FITNESS: 35.96619718309859        	BEST SCORE: 38   	BEST RATIO: 0.05654761904761905      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 144   BEST FITNESS: 34.74464579901153        	BEST SCORE: 37   	BEST RATIO: 0.06491228070175438      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 145   BEST FITNESS: 32.545090180360724       	BEST SCORE: 35   	BEST RATIO: 0.07543103448275862      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 146   BEST FITNESS: 34.837282780410746       	BEST SCORE: 37   	BEST RATIO: 0.06208053691275168      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 147   BEST FITNESS: 39.778337531486144       	BEST SCORE: 42   	BEST RATIO: 0.05585106382978723      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 148   BEST FITNESS: 43.18242343541944        	BEST SCORE: 46   	BEST RATIO: 0.06524822695035461      WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
GEN: 149   BEST FITNESS: 35.26269035532995        	BEST SCORE: 37   	BEST RATIO: 0.0492676431424767       WON: 0    	WON AVG RATIO: 0                        	WON MEDIAN RATIO: 0
