GEN: 96    AVG FITNESS: 14657.987411281476       	AVG SCORE: 0.871     	AVG RATIO: 0.05044304164012278      	BEST FITNESS: 169444.44444444444       	BEST SCORE: 16   	BEST RATIO: 0.06896551724137931      TOO_OLD: 32      	WON: 0    	
GEN: 97    AVG FITNESS: 15842.46904484399        	AVG SCORE: 0.98      	AVG RATIO: 0.05550835457377513      	BEST FITNESS: 149375.0                 	BEST SCORE: 14   	BEST RATIO: 0.09090909090909091      TOO_OLD: 25      	WON: 0    	
GEN: 98    AVG FITNESS: 15730.818760487839       	AVG SCORE: 0.969     	AVG RATIO: 0.050687869435580894     	BEST FITNESS: 159411.76470588235       	BEST SCORE: 15   	BEST RATIO: 0.0641025641025641       TOO_OLD: 38      	WON: 0    	
GEN: 99    AVG FITNESS: 16012.719516594454       	AVG SCORE: 0.996     	AVG RATIO: 0.049785064480655804     	BEST FITNESS: 149375.0                 	BEST SCORE: 14   	BEST RATIO: 0.09722222222222222      TOO_OLD: 46      	WON: 0    	
GEN: 100   AVG FITNESS: 16670.22685750775        	AVG SCORE: 1.056     	AVG RATIO: 0.05314544539506794      	BEST FITNESS: 179473.6842105263        	BEST SCORE: 17   	BEST RATIO: 0.06995884773662552      TOO_OLD: 36      	WON: 0    	
GEN: 101   AVG FITNESS: 16639.765040514983       	AVG SCORE: 1.054     	AVG RATIO: 0.04826007326007326      	BEST FITNESS: 129285.71428571429       	BEST SCORE: 12   	BEST RATIO: 0.08450704225352113      TOO_OLD: 50      	WON: 0    	
GEN: 102   AVG FITNESS: 17253.277195027127       	AVG SCORE: 1.114     	AVG RATIO: 0.05044376018837168      	BEST FITNESS: 149375.0                 	BEST SCORE: 14   	BEST RATIO: 0.09090909090909091      TOO_OLD: 47      	WON: 0    	
GEN: 103   AVG FITNESS: 17832.607522594342       	AVG SCORE: 1.167     	AVG RATIO: 0.05521907826251538      	BEST FITNESS: 179473.6842105263        	BEST SCORE: 17   	BEST RATIO: 0.07053941908713693      TOO_OLD: 28      	WON: 0    	
GEN: 104   AVG FITNESS: 17783.748196248183       	AVG SCORE: 1.161     	AVG RATIO: 0.05219619655621994      	BEST FITNESS: 139333.33333333334       	BEST SCORE: 13   	BEST RATIO: 0.1092436974789916       TOO_OLD: 44      	WON: 0    	
GEN: 105   AVG FITNESS: 18014.127909672          	AVG SCORE: 1.185     	AVG RATIO: 0.05048138365851581      	BEST FITNESS: 159411.76470588235       	BEST SCORE: 15   	BEST RATIO: 0.09036144578313253      TOO_OLD: 54      	WON: 0    	
GEN: 106   AVG FITNESS: 18277.827519702485       	AVG SCORE: 1.207     	AVG RATIO: 0.04973627822647107      	BEST FITNESS: 149375.0                 	BEST SCORE: 14   	BEST RATIO: 0.0958904109589041       TOO_OLD: 58      	WON: 0    	
GEN: 107   AVG FITNESS: 20142.499777999787       	AVG SCORE: 1.381     	AVG RATIO: 0.052389984825493174     	BEST FITNESS: 139333.33333333334       	BEST SCORE: 13   	BEST RATIO: 0.08783783783783784      TOO_OLD: 58      	WON: 0    	
GEN: 108   AVG FITNESS: 19854.635198135184       	AVG SCORE: 1.354     	AVG RATIO: 0.04737081481999791      	BEST FITNESS: 189500.0                 	BEST SCORE: 18   	BEST RATIO: 0.0636042402826855       TOO_OLD: 77      	WON: 0    	
GEN: 109   AVG FITNESS: 21200.3110639361         	AVG SCORE: 1.484     	AVG RATIO: 0.04996296545687159      	BEST FITNESS: 169444.44444444444       	BEST SCORE: 16   	BEST RATIO: 0.08247422680412371      TOO_OLD: 77      	WON: 0    	
