GEN: 108   AVG FITNESS: 7374591120.43353         	AVG SCORE: 6.207     	AVG RATIO: 0.055680146399224945     	BEST SCORE: 42   	BEST RATIO: 0.061313868613138686     TOO_OLD: 97      	WON: 0    	
GEN: 109   AVG FITNESS: 19980253207.66368        	AVG SCORE: 4.699     	AVG RATIO: 0.05816817894854115      	BEST SCORE: 44   	BEST RATIO: 0.05736636245110821      TOO_OLD: 56      	WON: 0    	
GEN: 110   AVG FITNESS: 1767212826.6773026       	AVG SCORE: 6.995     	AVG RATIO: 0.05469415839803586      	BEST SCORE: 39   	BEST RATIO: 0.053061224489795916     TOO_OLD: 128     	WON: 0    	
GEN: 111   AVG FITNESS: 18606465577.648624       	AVG SCORE: 6.372     	AVG RATIO: 0.05567156224608368      	BEST SCORE: 44   	BEST RATIO: 0.046267087276550996     TOO_OLD: 105     	WON: 0    	
GEN: 112   AVG FITNESS: 2338718375.7355866       	AVG SCORE: 9.081     	AVG RATIO: 0.056685039419229595     	BEST SCORE: 40   	BEST RATIO: 0.05412719891745602      TOO_OLD: 68      	WON: 0    	
GEN: 113   AVG FITNESS: 5842334725.514618        	AVG SCORE: 8.053     	AVG RATIO: 0.05593332175724953      	BEST SCORE: 42   	BEST RATIO: 0.05504587155963303      TOO_OLD: 78      	WON: 0    	
GEN: 114   AVG FITNESS: 579600938701.4486        	AVG SCORE: 8.631     	AVG RATIO: 0.054640761210187454     	BEST SCORE: 49   	BEST RATIO: 0.04382826475849732      TOO_OLD: 102     	WON: 0    	
GEN: 115   AVG FITNESS: 8251381014.207231        	AVG SCORE: 7.346     	AVG RATIO: 0.050516442256116845     	BEST SCORE: 42   	BEST RATIO: 0.05198019801980198      TOO_OLD: 147     	WON: 0    	
GEN: 116   AVG FITNESS: 22738402153.955994       	AVG SCORE: 6.503     	AVG RATIO: 0.049169048375145546     	BEST SCORE: 43   	BEST RATIO: 0.047304730473047306     TOO_OLD: 165     	WON: 0    	
GEN: 117   AVG FITNESS: 9051287620033.795        	AVG SCORE: 7.641     	AVG RATIO: 0.050560794044665014     	BEST SCORE: 53   	BEST RATIO: 0.04487722269263336      TOO_OLD: 157     	WON: 0    	
GEN: 118   AVG FITNESS: 74774269276.35196        	AVG SCORE: 6.761     	AVG RATIO: 0.04975787103136638      	BEST SCORE: 45   	BEST RATIO: 0.05784061696658098      TOO_OLD: 54      	WON: 0    	
GEN: 119   AVG FITNESS: 27966149286.366142       	AVG SCORE: 6.082     	AVG RATIO: 0.04892449764306514      	BEST SCORE: 44   	BEST RATIO: 0.044534412955465584     TOO_OLD: 63      	WON: 0    	
GEN: 120   AVG FITNESS: 73542864512.47498        	AVG SCORE: 5.382     	AVG RATIO: 0.04717700581166013      	BEST SCORE: 46   	BEST RATIO: 0.04609218436873747      TOO_OLD: 65      	WON: 0    	
GEN: 121   AVG FITNESS: 288026664139.25195       	AVG SCORE: 4.381     	AVG RATIO: 0.049409588685756824     	BEST SCORE: 48   	BEST RATIO: 0.047105004906771344     TOO_OLD: 33      	WON: 0    	
GEN: 122   AVG FITNESS: 474453917610.5834        	AVG SCORE: 8.365     	AVG RATIO: 0.04788263174163413      	BEST SCORE: 48   	BEST RATIO: 0.05189189189189189      TOO_OLD: 88      	WON: 0    	
GEN: 123   AVG FITNESS: 5636694852897.07         	AVG SCORE: 5.16      	AVG RATIO: 0.04570375815980372      	BEST SCORE: 52   	BEST RATIO: 0.04421768707482993      TOO_OLD: 57      	WON: 0    	
GEN: 124   AVG FITNESS: 15918898555.379025       	AVG SCORE: 6.334     	AVG RATIO: 0.04880792762803027      	BEST SCORE: 43   	BEST RATIO: 0.04751381215469613      TOO_OLD: 42      	WON: 0    	
